id,company,rank,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
163,AECOM,163,20173.3,-261.1,86000,Engineering & Construction,Los Angeles,CA,0,0,0,0
164,Netflix,164,20156.4,1866.9,8600,Media,Los Gatos,CA,0,1,0,1
165,Kohl&#8217;s,165,19974,691,79500,Retailing,Menomonee Falls,WI,0,0,1,1
166,Lear,166,19810.3,753.6,164100,Motor Vehicles & Parts,Southfield,MI,0,0,0,1
167,Altria Group,167,19796,-1293,7300,"Food, Beverages & Tobacco",Richmond,VA,0,0,0,0
168,Performance Food Group,168,19743.5,166.8,18000,Wholesalers,Richmond,VA,0,0,0,1
169,Avnet,169,19518.6,176.3,15500,Wholesalers,Phoenix,AZ,0,0,0,1
170,Synchrony Financial,170,19461,3747,16500,Financials,Stamford,CT,0,0,1,1
171,Genuine Parts,171,19392.3,621.1,55000,Wholesalers,Atlanta,GA,0,0,0,1
172,NextEra Energy,172,19204,3769,14800,Energy,Juno Beach,FL,0,0,0,1
173,CarMax,173,19146,842.4,25946,Retailing,Richmond,VA,0,0,0,1
174,Tenet Healthcare,174,18479,-232,101104,Health Care,Dallas,TX,0,0,0,0
175,Kimberly-Clark,175,18450,2157,40000,Household Products,Irving,TX,0,0,0,1
176,Emerson Electric,176,18372,2306,88000,Industrials,St. Louis,MO,0,0,0,1
177,WestRock,177,18289,862.9,51100,Materials,Atlanta,GA,0,0,0,1
178,CDW,178,18032.4,736.8,9900,Technology,Lincolnshire,IL,0,0,1,1
179,Jones Lang LaSalle (JLL),179,17983.2,535.3,93400,Financials,Chicago,IL,0,0,0,1
180,Sherwin-Williams,180,17900.8,1541.3,61111,Chemicals,Cleveland,OH,0,0,0,1
181,Fluor,181,17817.2,-1305,53349,Engineering & Construction,Irving,TX,0,0,0,0
182,PayPal Holdings,182,17772,2459,23200,Business Services,San Jose,CA,0,0,0,1
183,D.R. Horton,183,17592.9,1618.5,8916,Engineering & Construction,Arlington,TX,0,0,0,1
184,HollyFrontier,184,17486.6,772.4,4074,Energy,Dallas,TX,0,0,0,1
185,Tenneco,185,17450,-334,78000,Motor Vehicles & Parts,Lake Forest,IL,0,0,0,0
186,EOG Resources,186,17380,2734.9,2900,Energy,Houston,TX,0,0,0,1
187,BD,187,17290,1233,70093,Health Care,Franklin Lakes,NJ,0,0,0,1
188,Lincoln National,188,17258,886,11357,Financials,Radnor,PA,0,0,0,1
189,PG&E,189,17129,-7656,23000,Energy,San Francisco,CA,0,0,1,0
190,Salesforce,190,17098,126,49000,Technology,San Francisco,CA,0,1,0,1
191,Mastercard,191,16883,8118,18600,Business Services,Purchase,NY,0,0,0,1
192,General Mills,192,16865.2,1752.7,40000,"Food, Beverages & Tobacco",Minneapolis,MN,0,0,0,1
193,Molina Healthcare,193,16829,737,10000,Health Care,Long Beach,CA,0,0,0,1
194,Cognizant Technology Solutions,194,16783,1842,292500,Technology,Teaneck,NJ,0,0,0,1
195,Marsh & McLennan,195,16652,1742,76000,Financials,New York,NY,0,0,0,1
196,XPO Logistics,196,16648,419,100000,Transportation,Greenwich,CT,0,0,0,1
197,Dominion Energy,197,16572,1358,19100,Energy,Richmond,VA,0,0,0,1
198,Western Digital,198,16569,-754,61800,Technology,San Jose,CA,0,0,0,0
199,Gap,199,16383,351,129000,Retailing,San Francisco,CA,0,0,1,1
200,Aramark,200,16227.3,448.5,233400,Business Services,Philadelphia,PA,0,0,0,1
201,Principal Financial,201,16222.1,1394.2,17601,Financials,Des Moines,IA,0,0,0,1
202,Ross Stores,202,16039.1,1660.9,92500,Retailing,Dublin,CA,0,0,1,1
203,Colgate-Palmolive,203,15693,2367,34300,Household Products,New York,NY,0,0,0,1
204,American Electric Power,204,15561.4,1921.1,17408,Energy,Columbus,OH,0,0,0,1
205,Nordstrom,205,15524,496,75000,Retailing,Seattle,WA,0,0,0,1
206,Jacobs Engineering Group,206,15463.6,848,50000,Engineering & Construction,Dallas,TX,0,0,0,1
207,Waste Management,207,15455,1670,44900,Business Services,Houston,TX,0,0,0,1
208,C.H. Robinson Worldwide,208,15309.5,577,15427,Transportation,Eden Prairie,MN,0,0,0,1
209,PPG Industries,209,15146,1243,47600,Chemicals,Pittsburgh,PA,0,0,0,1
210,Booking Holdings,210,15066,4865,26400,Technology,Norwalk,CT,0,0,0,1
211,Omnicom Group,211,14953.7,1339.1,70000,Business Services,New York,NY,0,0,0,1
212,Loews,212,14931,932,18605,Financials,New York,NY,0,0,0,1
213,Ecolab,213,14906.3,1558.9,50200,Chemicals,St. Paul,MN,0,0,0,1
214,Stryker,214,14884,2083,40000,Health Care,Kalamazoo,MI,0,0,0,1
215,Estée Lauder,215,14863,1785,48000,Household Products,New York,NY,0,0,0,1
216,Goodyear Tire & Rubber,216,14745,-311,63000,Motor Vehicles & Parts,Akron,OH,0,0,0,0
217,Truist Financial,217,14664,3224,59000,Financials,Charlotte,NC,0,0,0,1
218,Applied Materials,218,14608,2706,22000,Technology,Santa Clara,CA,0,0,0,1
219,BlackRock,219,14539,4476,16200,Financials,New York,NY,0,0,0,1
220,Stanley Black & Decker,220,14442.2,955.8,59438,Household Products,New Britain,CT,0,0,0,1
221,Freeport-McMoRan,221,14402,-239,27500,Energy,Phoenix,AZ,0,0,0,0
222,Texas Instruments,222,14383,5017,29768,Technology,Dallas,TX,0,0,0,1
223,Biogen,223,14377.9,5888.5,7400,Health Care,Cambridge,MA,0,0,0,1
224,Parker-Hannifin,224,14320.3,1512.4,55610,Industrials,Cleveland,OH,0,0,0,1
225,Reinsurance Group of America,225,14300,870,3188,Financials,Chesterfield,MO,0,0,1,1
226,Howmet Aerospace,226,14192,470,41700,Aerospace & Defense,Pittsburgh,PA,0,0,0,1
227,Automatic Data Processing,227,14175.2,2292.8,58000,Business Services,Roseland,NJ,0,0,0,1
228,Uber Technologies,228,14147,-8506,26900,Technology,San Francisco,CA,1,0,0,0
229,Illinois Tool Works,229,14109,2521,45000,Industrials,Glenview,IL,0,0,0,1
230,DaVita,230,14101.5,811,65000,Health Care,Denver,CO,0,0,0,1
231,Discover Financial Services,231,13989,2957,17200,Financials,Riverwoods,IL,0,0,0,1
232,Land O&#8217;Lakes,232,13887.7,205.9,8000,"Food, Beverages & Tobacco",Arden Hills,MN,0,0,1,1
233,VF,233,13870.6,1259.8,75000,Apparel,Greenwood Village,CO,0,0,0,1
234,Corteva,234,13846,-959,21000,"Food, Beverages & Tobacco",Wilmington,DE,1,0,0,0
235,Las Vegas Sands,235,13739,2698,50000,"Hotels, Restaurants & Leisure",Las Vegas,NV,0,1,0,1
236,Textron,236,13630,815,35000,Aerospace & Defense,Providence,RI,0,0,0,1
237,Kellogg,237,13578,960,31000,"Food, Beverages & Tobacco",Battle Creek,MI,0,0,0,1
238,Guardian Life Ins. Co. of America,238,13476.7,679.8,9032,Financials,New York,NY,0,0,0,1
239,Qurate Retail,239,13458,-456,25314,Retailing,Englewood,CO,0,0,0,0
240,Core-Mark Holding,240,13329.2,57.7,8555,Wholesalers,Westlake,TX,0,0,0,1
241,Community Health Systems,241,13210,-675,71500,Health Care,Franklin,TN,0,0,0,0
242,Kinder Morgan,242,13209,2190,11086,Energy,Houston,TX,0,0,0,1
243,BJ's Wholesale Club,243,13190.7,187.2,27231,Retailing,Westborough,MA,0,0,0,1
244,State Street,244,13131,2242,39103,Financials,Boston,MA,0,0,0,1
245,Ameriprise Financial,245,13103,1893,12500,Financials,Minneapolis,MN,0,0,0,1
246,Global Partners,246,13081.7,35.9,3860,Wholesalers,Waltham,MA,0,0,0,1
247,United States Steel,247,12937,-630,27500,Materials,Pittsburgh,PA,0,0,0,0
248,L Brands,248,12914.2,-366.4,59950,Retailing,Columbus,OH,0,0,0,0
249,MGM Resorts International,249,12899.7,2049.1,72000,"Hotels, Restaurants & Leisure",Las Vegas,NV,0,0,0,1
250,L3Harris Technologies,250,12856,1333,50000,Aerospace & Defense,Melbourne,FL,0,0,0,1
251,DISH Network,251,12807.7,1399.5,16000,Telecommunications,Englewood,CO,0,0,0,1
252,Lithia Motors,252,12672.7,271.5,14320,Retailing,Medford,OR,0,0,0,1
253,DTE Energy,253,12669,1169,10700,Energy,Detroit,MI,0,0,0,1
254,American Family Insurance Group,254,12633.2,455.9,13531,Financials,Madison,WI,0,0,0,1
255,Farmers Insurance Exchange,255,12592.5,55.3,10980,Financials,Woodland Hills,CA,0,0,0,1
256,Consolidated Edison,256,12574,1343,14890,Energy,New York,NY,0,0,0,1
257,LKQ,257,12506.1,541.3,51000,Wholesalers,Chicago,IL,0,0,0,1
258,Sempra Energy,258,12443,2197,13969,Energy,San Diego,CA,0,0,0,1
259,Edison International,259,12347,1284,12937,Energy,Rosemead,CA,0,0,0,1
260,CenterPoint Energy,260,12301,791,14262,Energy,Houston,TX,0,0,0,1
261,Quanta Services,261,12112.2,402,40300,Engineering & Construction,Houston,TX,0,0,0,1
262,Murphy USA,262,12101.3,154.8,7250,Retailing,El Dorado,AR,0,0,0,1
263,Expedia Group,263,12067,565,25400,Retailing,Seattle,WA,0,0,0,1
264,Group 1 Automotive,264,12043.8,174,15296,Retailing,Houston,TX,0,0,0,1
265,Bed Bath & Beyond,265,12028.8,-137.2,62000,Retailing,Union,NJ,0,0,0,0
266,Unum Group,266,11998.9,1100.3,10300,Financials,Chattanooga,TN,0,0,0,1
267,CSX,267,11937,3331,20908,Transportation,Jacksonville,FL,0,0,0,1
268,AutoZone,268,11863.7,1617.2,75840,Retailing,Memphis,TN,0,0,0,1
269,Pacific Life,269,11847,725,3815,Financials,Newport Beach,CA,0,0,0,1
270,Vistra Energy,270,11809,928,5475,Energy,Irving,TX,0,0,0,1
271,Charles Schwab,271,11785,3704,19700,Financials,San Francisco,CA,0,0,0,1
272,Crown Holdings,272,11665,510,33043,Materials,Yardley,PA,0,0,0,1
273,Ally Financial,273,11618,1715,8700,Financials,Detroit,MI,0,0,0,1
274,Laboratory Corp. of America (Labcorp),274,11554.8,823.8,65000,Health Care,Burlington,NC,0,0,0,1
275,Live Nation Entertainment,275,11548,69.9,18200,Media,Beverly Hills,CA,0,0,0,1
276,Xcel Energy,276,11529,1372,11295,Energy,Minneapolis,MN,0,0,0,1
277,Corning,277,11503,960,49500,Industrials,Corning,NY,0,0,0,1
278,W.W. Grainger,278,11486,849,24550,Wholesalers,Lake Forest,IL,0,0,0,1
279,Ball,279,11474,566,18300,Materials,Broomfield,CO,0,0,0,1
280,Fox,280,11389,1595,7700,Media,New York,NY,1,0,0,1
281,Universal Health Services,281,11378.3,814.9,79050,Health Care,King of Prussia,PA,0,0,0,1
282,Baxter International,282,11362,1001,50000,Health Care,Deerfield,IL,0,0,0,1
283,Norfolk Southern,283,11296,2722,24587,Transportation,Norfolk,VA,0,0,0,1
284,Navistar International,284,11251,221,12300,Industrials,Lisle,IL,0,0,0,1
285,Adobe,285,11171.3,2951.5,22634,Technology,San Jose,CA,0,0,0,1
286,J.C. Penney,286,11167,-268,90000,Retailing,Plano,TX,0,0,0,0
287,Discovery,287,11144,2069,9200,Media,Silver Spring,MD,0,0,0,1
288,Keurig Dr Pepper,288,11120,1254,25500,"Food, Beverages & Tobacco",Burlington,MA,0,0,0,1
289,Leidos Holdings,289,11094,667,34000,Technology,Reston,VA,0,0,0,1
290,IQVIA Holdings,290,11088,191,67000,Health Care,Durham,NC,0,0,0,1
291,Reliance Steel & Aluminum,291,10973.8,701.5,15300,Materials,Los Angeles,CA,0,0,0,1
292,Nvidia,292,10918,2796,13775,Technology,Santa Clara,CA,0,1,0,1
293,Entergy,293,10878.7,1241.2,13635,Energy,New Orleans,LA,0,0,0,1
294,FirstEnergy,294,10850,912,12316,Energy,Akron,OH,0,0,0,1
295,eBay,295,10800,1786,13300,Technology,San Jose,CA,0,0,0,1
296,Boston Scientific,296,10735,4700,36000,Health Care,Marlborough,MA,0,0,0,1
297,ODP,297,10647,99,40000,Retailing,Boca Raton,FL,0,0,0,1
