id,company,rank,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
388,Westinghouse Air Brake,388,8200,326.7,27500,Industrials,Pittsburgh,PA,1,0,0,1
389,Expeditors Intl. of Washington,389,8175.4,590.4,18000,Transportation,Seattle,WA,0,0,0,1
390,Andersons,390,8170.2,18.3,2284,"Food, Beverages & Tobacco",Maumee,OH,1,0,0,1
391,Westlake Chemical,391,8118,421,9430,Chemicals,Houston,TX,0,0,0,1
392,Constellation Brands,392,8116,3435.9,9800,"Food, Beverages & Tobacco",Victor,NY,0,0,0,1
393,Frontier Communications,393,8107,-5911,18317,Telecommunications,Norwalk,CT,0,0,0,0
394,JetBlue Airways,394,8094,569,19032,Transportation,Long Island City,NY,0,0,0,1
395,Citizens Financial Group,395,8066,1791,17997,Financials,Providence,RI,0,0,0,1
396,Raymond James Financial,396,8023,1034,14200,Financials,St. Petersburg,FL,0,0,0,1
397,Foot Locker,397,8005,491,33294,Retailing,New York,NY,0,0,0,1
398,Hershey,398,7986.3,1149.7,15330,"Food, Beverages & Tobacco",Hershey,PA,0,0,1,1
399,Zimmer Biomet Holdings,399,7982.2,1131.6,19900,Health Care,Warsaw,IN,0,0,0,1
400,Cincinnati Financial,400,7924.2,1997.4,5200,Financials,Fairfield,OH,1,0,0,1
401,Western & Southern Financial Group,401,7920.5,244.9,2787,Financials,Cincinnati,OH,0,0,0,1
402,W.R. Berkley,402,7902.2,681.9,7493,Financials,Greenwich,CT,0,0,0,1
403,Motorola Solutions,403,7887,868,17000,Technology,Chicago,IL,0,0,0,1
404,Thor Industries,404,7864.8,133.3,21750,Motor Vehicles & Parts,Elkhart,IN,0,0,0,1
405,Regeneron Pharmaceuticals,405,7863.4,2115.8,8100,Health Care,Tarrytown,NY,0,1,0,1
406,Spirit AeroSystems Holdings,406,7863.1,530.1,18200,Aerospace & Defense,Wichita,KS,0,0,0,1
407,J.M. Smucker,407,7838,514.4,7400,"Food, Beverages & Tobacco",Orrville,OH,0,0,0,1
408,PPL,408,7769,1746,12280,Energy,Allentown,PA,0,0,0,1
409,Insight Enterprises,409,7731.2,159.4,11261,Technology,Tempe,AZ,0,0,0,1
410,Quest Diagnostics,410,7726,858,47000,Health Care,Secaucus,NJ,0,0,0,1
411,KeyCorp,411,7694,1717,17045,Financials,Cleveland,OH,0,0,0,1
412,Veritiv,412,7659.4,-29.5,8000,Wholesalers,Atlanta,GA,0,0,0,0
413,DCP Midstream,413,7625,17,2250,Energy,Denver,CO,0,0,0,1
414,American Tower,414,7580.3,1887.8,5454,Financials,Boston,MA,0,0,0,1
415,Graybar Electric,415,7523.9,144.5,9000,Wholesalers,St. Louis,MO,0,0,1,1
416,WEC Energy Group,416,7523.1,1134,7509,Energy,Milwaukee,WI,0,0,0,1
417,NVR,417,7428.4,878.5,5700,Engineering & Construction,Reston,VA,0,0,0,1
418,Ulta Beauty,418,7398.1,705.9,31000,Retailing,Bolingbrook,IL,0,0,1,1
419,Devon Energy,419,7372,-355,1800,Energy,Oklahoma City,OK,0,0,0,0
420,Blackstone Group,420,7338.3,2049.7,2905,Financials,New York,NY,0,1,0,1
421,Dean Foods,421,7328.7,-499.9,14500,"Food, Beverages & Tobacco",Dallas,TX,0,0,0,0
422,Fortive,422,7326.1,738.9,25000,Industrials,Everett,WA,0,0,0,1
423,UGI,423,7320.4,256.2,12800,Energy,King of Prussia,PA,0,0,0,1
424,Burlington Stores,424,7286.4,465.1,47000,Retailing,Burlington,NJ,0,0,0,1
425,Builders FirstSource,425,7280.4,221.8,15800,Materials,Dallas,TX,0,0,0,1
426,Toll Brothers,426,7224,590,5100,Engineering & Construction,Horsham,PA,0,0,0,1
427,Old Republic International,427,7213.7,1056.4,9000,Financials,Chicago,IL,0,0,0,1
428,Asbury Automotive Group,428,7210.3,184.4,8500,Retailing,Duluth,GA,0,0,0,1
429,Arthur J. Gallagher,429,7195,668.8,33247,Financials,Rolling Meadows,IL,0,0,0,1
430,MasTec,430,7183.2,392.3,21000,Engineering & Construction,Coral Gables,FL,0,0,0,1
431,Owens Corning,431,7160,405,19000,Materials,Toledo,OH,0,0,0,1
432,Magellan Health,432,7159.4,55.9,10100,Health Care,Phoenix,AZ,0,0,0,1
433,Dover,433,7136.4,677.9,24000,Industrials,Downers Grove,IL,0,0,0,1
434,Beacon Roofing Supply,434,7105.2,-10.6,8147,Wholesalers,Herndon,VA,0,0,0,0
435,Avery Dennison,435,7070.1,303.6,30000,Materials,Glendale,CA,0,0,0,1
436,Hanesbrands,436,6966.9,600.7,63000,Apparel,Winston-Salem,NC,0,0,0,1
437,Packaging Corp. of America,437,6964.3,696.4,15500,Materials,Lake Forest,IL,0,0,0,1
438,M&T Bank,438,6941.3,1929.1,17386,Financials,Buffalo,NY,0,0,0,1
439,NCR,439,6915,564,36000,Technology,Atlanta,GA,0,0,0,1
440,Northern Trust,440,6895.1,1492.2,19800,Financials,Chicago,IL,0,0,0,1
441,Cintas,441,6892.3,885,45000,Business Services,Cincinnati,OH,0,0,0,1
442,Polaris,442,6863.4,324,14000,Transportation,Medina,MN,0,0,0,1
443,CMS Energy,443,6845,680,8459,Energy,Jackson,MI,0,0,1,1
444,Seaboard,444,6840,283,13100,"Food, Beverages & Tobacco",Merriam,KS,0,0,0,1
445,Intuit,445,6784,1557,9400,Technology,Mountain View,CA,0,0,0,1
446,Regions Financial,446,6755,1582,19564,Financials,Birmingham,AL,0,0,0,1
447,FM Global,447,6743.1,2479.3,5591,Financials,Johnston,RI,1,0,0,1
448,Advanced Micro Devices (AMD),448,6731,341,11400,Technology,Santa Clara,CA,0,0,1,1
449,Ovintiv,449,6726,234,2571,Energy,Denver,CO,1,0,0,1
450,Booz Allen Hamilton Holding,450,6704,418.5,26100,Technology,McLean,VA,0,0,0,1
451,S&P Global,451,6699,2123,22500,Business Services,New York,NY,0,0,0,1
452,Rockwell Automation,452,6694.8,695.8,23000,Industrials,Milwaukee,WI,0,0,0,1
453,O-I Glass,453,6691,-400,27500,Materials,Perrysburg,OH,0,0,0,0
454,Wynn Resorts,454,6611.1,123,30200,"Hotels, Restaurants & Leisure",Las Vegas,NV,0,0,0,1
455,Securian Financial Group,455,6600.6,434.8,6400,Financials,St. Paul,MN,1,0,0,1
456,Alliance Data Systems,456,6580.9,278,8500,Business Services,Columbus,OH,0,0,0,1
457,Weyerhaeuser,457,6554,-76,9400,Materials,Seattle,WA,0,0,0,0
458,Brighthouse Financial,458,6554,-740,1330,Financials,Charlotte,NC,0,0,0,0
459,Intercontinental Exchange,459,6547,1933,5989,Financials,Atlanta,GA,0,1,0,1
460,American Axle & Manufacturing,460,6530.9,-484.5,20000,Motor Vehicles & Parts,Detroit,MI,0,0,0,0
461,Hess,461,6510,-408,1775,Energy,New York,NY,0,0,0,0
462,ABM Industries,462,6498.6,127.4,140000,Business Services,New York,NY,0,0,0,1
463,Activision Blizzard,463,6489,1503,9200,Media,Santa Monica,CA,0,0,0,1
464,GameStop,464,6466,-470.9,30000,Retailing,Grapevine,TX,0,0,0,0
465,APA,465,6411,-3553,3163,Energy,Houston,TX,0,0,0,0
466,Science Applications International,466,6379,226,24311,Technology,Reston,VA,1,0,1,1
467,AK Steel Holding,467,6359.4,11.2,9300,Materials,West Chester,OH,0,0,0,1
468,Dillard&#8217;s,468,6343.2,111.1,30400,Retailing,Little Rock,AR,0,0,0,1
469,Ralph Lauren,469,6313,430.9,18650,Apparel,New York,NY,0,0,0,1
470,Celanese,470,6297,852,7714,Chemicals,Irving,TX,0,0,1,1
471,R.R. Donnelley & Sons,471,6276.2,-93.2,36400,Media,Chicago,IL,0,0,0,0
472,Zoetis,472,6260,1500,10600,Health Care,Parsippany,NJ,0,0,1,1
473,Ascena Retail Group,473,6242.8,-661.4,33000,Retailing,Mahwah,NJ,0,0,1,0
474,Clorox,474,6214,820,8800,Household Products,Oakland,CA,0,0,1,1
475,Ingredion,475,6209,413,11000,"Food, Beverages & Tobacco",Westchester,IL,0,0,0,1
476,First American Financial,476,6202.1,707.4,18412,Financials,Santa Ana,CA,0,0,0,1
477,Graphic Packaging Holding,477,6160.1,206.8,18000,Materials,Atlanta,GA,0,0,0,1
478,NetApp,478,6146,1169,10500,Technology,Sunnyvale,CA,0,0,0,1
479,HD Supply Holdings,479,6146,452,11500,Wholesalers,Atlanta,GA,0,0,0,1
480,TravelCenters of America,480,6117.4,33.3,18594,Retailing,Westlake,OH,0,0,0,1
481,Olin,481,6110,-11.3,6500,Chemicals,Clayton,MO,0,0,0,0
482,Robert Half International,482,6074.4,454.4,16000,Business Services,Menlo Park,CA,0,0,0,1
483,EnLink Midstream,483,6052.9,-1119.3,1355,Energy,Dallas,TX,0,0,0,0
484,Avantor,484,6040.3,37.8,12000,Technology,Radnor,PA,1,0,0,1
485,Tapestry,485,6027.1,643.4,17400,Apparel,New York,NY,0,0,1,1
486,TD Ameritrade Holding,486,6016,2208,9226,Financials,Omaha,NE,1,0,0,1
487,Analog Devices,487,5991.1,1363,16400,Technology,Norwood,MA,0,0,0,1
488,Ameren,488,5910,828,9323,Energy,St. Louis,MO,0,0,0,1
489,Williams-Sonoma,489,5898,356.1,19300,Retailing,San Francisco,CA,0,0,1,1
490,Realogy Holdings,490,5870,-188,10150,Financials,Madison,NJ,0,0,0,0
491,Commercial Metals,491,5829,198.1,11524,Materials,Irving,TX,1,0,1,1
492,Rush Enterprises,492,5809.8,141.6,7244,Retailing,New Braunfels,TX,1,0,0,1
493,Franklin Resources,493,5774.5,1195.7,9597,Financials,San Mateo,CA,0,0,1,1
494,Fortune Brands Home & Security,494,5764.6,431.9,24700,Household Products,Deerfield,IL,1,0,0,1
495,Levi Strauss,495,5763.1,394.6,15800,Apparel,San Francisco,CA,0,0,0,1
496,Crown Castle International,496,5763,860,5100,Financials,Houston,TX,1,0,0,1
497,Simon Property Group,497,5755.2,2101.6,3750,Financials,Indianapolis,IN,0,0,0,1
498,Cerner,498,5692.6,529.5,27400,Health Care,North Kansas City,MO,1,0,0,1
499,Post Holdings,499,5681.1,124.7,10100,"Food, Beverages & Tobacco",St. Louis,MO,0,0,0,1
